state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
1,1,2,Alaska,AK,2010,2.5,3,,1,0,47,4,0
1,1,3,Arizona,AZ,2010,4.8076916,25,,1,0,47,4,0
2,1,4,Arkansas,AR,2010,4.96,,8,0,1,47,4,0
2,2,5,California,CA,2010,5.9399996,,17,1,0,47,4,0
1,1,6,Colorado,CO,2010,3.9615386,21,,1,0,47,4,0
2,2,7,Connecticut,CT,2010,5.04,,10,1,0,47,4,0
2,2,8,Delaware,DE,2010,5,,9,1,0,47,4,0
2,2,9,District of Columbia,DC,2010,6.0800004,,20,1,0,47,4,0
1,1,10,Florida,FL,2010,2.5769231,4,,1,0,47,4,0
1,1,11,Georgia,GA,2010,4.3461542,24,,1,0,47,4,0
2,2,12,Hawaii,HI,2010,5.4799995,,14,1,0,47,4,0
1,1,13,Idaho,ID,2010,2.1153846,1.5,,1,0,47,4,0
2,2,14,Illinois,IL,2010,5.9199996,,16,1,0,47,4,0
1,1,15,Indiana,IN,2010,3.3461537,14,,1,0,47,4,0
1,1,16,Iowa,IA,2010,2.8076921,7.5,,1,0,47,4,0
1,1,17,Kansas,KS,2010,2.8846154,9.5,,1,0,47,4,0
1,1,18,Kentucky,KY,2010,2.8846154,9.5,,1,0,47,4,0
2,1,19,Louisiana,LA,2010,4.7199998,,6,0,1,47,4,0
2,2,20,Maine,ME,2010,6.0799999,,19,1,0,47,4,0
2,2,21,Maryland,MD,2010,4.3199997,,2.5,1,0,47,4,0
2,2,22,Massachusetts,MA,2010,5.2400002,,12,1,0,47,4,0
2,2,23,Michigan,MI,2010,4.52,,4,1,0,47,4,0
2,2,24,Minnesota,MN,2010,6.0200005,,18,1,0,47,4,0
1,1,25,Mississippi,MS,2010,4.0769234,23,,1,0,47,4,0
1,1,26,Missouri,MO,2010,2.653846,5,,1,0,47,4,0
1,1,27,Montana,MT,2010,2.8076921,7.5,,1,0,47,4,0
2,2,28,Nebraska,NE,2010,6.3799996,,21,1,0,47,4,0
1,1,29,Nevada,NV,2010,3.4615383,16,,1,0,47,4,0
1,1,30,New Hampshire,NH,2010,3.3846154,15,,1,0,47,4,0
2,2,31,New Jersey,NJ,2010,4.3000002,,1,1,0,47,4,0
2,2,32,New Mexico,NM,2010,6.7200003,,24,1,0,47,4,0
2,2,33,New York,NY,2010,5.5599999,,15,1,0,47,4,0
2,1,34,North Carolina,NC,2010,4.6399994,,5,0,1,47,4,0
1,1,35,North Dakota,ND,2010,3.0384614,11,,1,0,47,4,0
1,1,36,Ohio,OH,2010,3.2692306,12,,1,0,47,4,0
2,2,37,Oklahoma,OK,2010,6.5599999,,22.5,1,0,47,4,0
1,1,38,Oregon,OR,2010,4.0384612,22,,1,0,47,4,0
2,2,39,Pennsylvania,PA,2010,4.3199997,,2.5,1,0,47,4,0
2,2,40,Rhode Island,RI,2010,4.9200001,,7,1,0,47,4,0
1,1,41,South Carolina,SC,2010,3.2692308,13,,1,0,47,4,0
1,1,42,South Dakota,SD,2010,2.1153846,1.5,,1,0,47,4,0
2,1,43,Tennessee,TN,2010,5.46,,13,0,1,47,4,0
2,2,44,Texas,TX,2010,6.8200002,,25,1,0,47,4,0
1,1,45,Utah,UT,2010,5,26,,1,0,47,4,0
1,1,46,Vermont,VT,2010,3.7307689,20,,1,0,47,4,0
1,1,47,Virginia,VA,2010,3.6153846,18,,1,0,47,4,0
2,2,48,Washington,WA,2010,6.5599999,,22.5,1,0,47,4,0
1,1,49,West Virginia,WV,2010,2.7307692,6,,1,0,47,4,0
2,2,50,Wisconsin,WI,2010,5.1199999,,11,1,0,47,4,0
1,1,51,Wyoming,WY,2010,3.653846,19,,1,0,47,4,0
1,1,1,Alabama,AL,2011,4.9464288,26,,1,0,45,6,0
1,1,2,Alaska,AK,2011,3.196429,11,,1,0,45,6,0
1,1,3,Arizona,AZ,2011,4.2321429,24,,1,0,45,6,0
1,2,4,Arkansas,AR,2011,3.8750002,19,,0,1,45,6,0
2,2,5,California,CA,2011,7.565218,,23,1,0,45,6,0
1,1,6,Colorado,CO,2011,3.1607149,7,,1,0,45,6,0
2,2,7,Connecticut,CT,2011,4.3260865,,5,1,0,45,6,0
2,2,8,Delaware,DE,2011,4.543478,,8,1,0,45,6,0
